year,not_inception_total,income,capitalvalue,segment,yield,total,
2020,0.123,0.046,"19,249,373,092",Industrial,0.217391304,0.093,
2020,0.087,0.036,"19,422,269,806",Residential,0.277777778,0.103,
2021,-0.041,0.037,"45,988,014,268",Retail,0.27027027,0.091,
2021,0.009,0.047,"52,740,117,561",Office,0.212765957,0.086102762,
2021,0.241,0.043,"24,917,660,457",Industrial,0.23255814,0.089,
2021,0.055,0.031,"20,303,917,569",Residential,0.322580645,0.109,
2022,0.021,0.048,"42,233,733,473",Retail,0.208333333,0.090,
2022,0,0.048,"50,665,373,068",Office,0.208333333,0.083168033,
2022,0.3,0.037,"35,053,951,119",Industrial,0.27027027,0.085,
2022,0.077,0.032,"23,528,373,246",Residential,0.3125,0.116,
2023,-0.024,0.054,"40,544,162,327",Retail,0.185185185,0.086,
2023,-0.073,0.053,"45,268,259,172",Office,0.188679245,0.078409686,
2023,0.039,0.036,"37,294,724,143",Industrial,0.277777778,0.077,
2023,0.033,0.034,"24,494,046,400",Residential,0.294117647,0.113,
