year,segment,total,income,growth
Dec-21,Toronto,759,364,209.2
Dec-21,Vancouver,906.1,363.9,250.1
Dec-21,Edmonton,677.4,438.5,154.9
Dec-21,Ottawa,692.7,413.8,167.9
Mar-22,All,696.9,389.9,179.3
Mar-22,Retail,611.7,376.2,163.1
Mar-22,Office,639,410.4,156.1
Mar-22,Industrial,"1,121.80",435.1,259
Mar-22,Residential,730.1,326.1,224.7
Mar-22,Calgary,536.7,421.5,127.6
Mar-22,Montreal,595.2,388.7,153.5
Mar-22,Toronto,775.3,367.4,211.8
Mar-22,Vancouver,922,367.4,252
Mar-22,Edmonton,687.2,444.1,155.2
Mar-22,Ottawa,702.7,418,168.7
Jun-22,All,705.3,394.2,179.5
Jun-22,Retail,612.8,380.9,161.4
Jun-22,Office,634.3,415.4,153.1
Jun-22,Industrial,"1,183.40",439,270.8
Jun-22,Residential,739.7,328.8,225.7
Jun-22,Calgary,541.6,428.2,126.7
Jun-22,Montreal,608.3,392.8,155.2
Jun-22,Toronto,782.6,371,211.7
Jun-22,Vancouver,935.7,371.1,253.3
Jun-22,Edmonton,696.2,450.1,155.1
Jun-22,Ottawa,698.7,422.5,165.9
Sep-22,All,712.9,398.5,179.5
Sep-22,Retail,615.6,385.7,160.1
Sep-22,Office,634.2,420.4,151.2
Sep-22,Industrial,"1,222.80",442.7,277.5
Sep-22,Residential,749.1,331.5,226.7
Sep-22,Calgary,548.6,435.1,126.3
Sep-22,Montreal,616.5,396.7,155.8
Sep-22,Toronto,791.5,374.6,212.1
Sep-22,Vancouver,942.6,374.9,252.5
Sep-22,Edmonton,700.1,456.1,154
Sep-22,Ottawa,700.1,427.3,164.3
Dec-22,All,692.4,402.7,172.4
Dec-22,Retail,582.2,390.4,149.6
Dec-22,Office,597.6,425.5,140.7
Dec-22,Industrial,"1,239.90",446.4,279
Dec-22,Residential,753.9,334.2,226.4
Dec-22,Calgary,536.1,441.9,121.5
Dec-22,Montreal,595,400.9,148.8
Dec-22,Toronto,763.7,378.1,202.6
Dec-22,Vancouver,916.5,378.6,243.1
Dec-22,Edmonton,694,462.4,150.5
Dec-22,Ottawa,674.6,431.7,156.7
Mar-23,All,695.8,407.2,171.4
Mar-23,Retail,587.8,395.5,149.1
Mar-23,Office,594.4,431,138.2
Mar-23,Industrial,"1,253.90",450.3,279.7
Mar-23,Residential,760.1,337,226.3
Mar-23,Calgary,542.8,449.1,121
Mar-23,Montreal,599,405,148.2
Mar-23,Toronto,764.9,381.9,200.9
Mar-23,Vancouver,923.1,382.5,242.4
Mar-23,Edmonton,703,468.8,150.4
Mar-23,Ottawa,674.5,436.3,155
Jun-23,All,699.9,412,170.4
Jun-23,Retail,593.8,400.7,148.6
Jun-23,Office,592,436.8,135.8
Jun-23,Industrial,"1,269.60",454.5,280.7
Jun-23,Residential,765.6,339.9,226.1
Jun-23,Calgary,550.5,456.6,120.8
Jun-23,Montreal,600.2,409.6,146.9
Jun-23,Toronto,768.2,385.9,199.7
Jun-23,Vancouver,930.1,386.6,241.6
Jun-23,Edmonton,704.8,475.3,148.7
Jun-23,Ottawa,678.6,441.2,154.2
Sep-23,All,702.1,416.9,168.9
Sep-23,Retail,600.6,406.4,148.2
Sep-23,Office,588.2,442.6,133.1
Sep-23,Industrial,"1,270.30",458.8,278.2
Sep-23,Residential,773.8,342.9,226.4
Sep-23,Calgary,556.9,463.8,120.3
Sep-23,Montreal,601.6,414.3,145.5
Sep-23,Toronto,767.8,390.2,197.4
Sep-23,Vancouver,937.6,390.8,240.9
Sep-23,Edmonton,705.7,481.9,146.9
Sep-23,Ottawa,673.5,446.2,151.4
